"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jun 2020",14802351.141957,14705481.4707146,14899220.8131993,14654201.7643324,14950500.5195816
"Jul 2020",14762473.283914,14604259.643635,14920686.924193,14520506.4016231,15004440.1662048
"Aug 2020",14722595.425871,14502285.6798759,14942905.171866,14385660.7451272,15059530.1066147
"Sep 2020",14682717.567828,14397251.0483794,14968184.0872765,14246134.2012637,15119300.9343922
"Oct 2020",14642839.7097849,14288595.8382832,14997083.5812867,14101070.4602641,15184608.9593058
"Nov 2020",14602961.8517419,14176204.2385925,15029719.4648914,13950292.404496,15255631.2989879
"Dec 2020",14563083.9936989,14060108.7763484,15066059.2110494,13793849.7797762,15332318.2076217
"Jan 2021",14523206.1356559,13940395.9924283,15106016.2788835,13631874.938955,15414537.3323568
"Feb 2021",14483328.2776129,13817170.8205422,15149485.7346836,13464528.3642933,15502128.1909325
"Mar 2021",14443450.4195699,13690541.8800753,15196358.9590645,13291976.1748056,15594924.6643342
"Apr 2021",14403572.5615269,13560615.2004244,15246529.9226294,13114380.5284605,15692764.5945932
"May 2021",14363694.7034839,13427491.6246172,15299897.7823505,12931895.6513604,15795493.7556073
"Jun 2021",14323816.8454409,13291265.8968381,15356367.7940436,12744666.4422309,15902967.2486508
"Jul 2021",14283938.9873978,13152026.5357173,15415851.4390783,12552828.2786349,16015049.6961608
"Aug 2021",14244061.1293548,13009856.0689231,15478266.1897866,12356507.3757489,16131614.8829608
"Sep 2021",14204183.2713118,12864831.4220475,15543535.1205761,12155821.3811138,16252545.1615098
"Oct 2021",14164305.4132688,12717024.3593766,15611586.4671611,11950880.0487338,16377730.7778038
"Nov 2021",14124427.5552258,12566501.9262024,15682353.1842492,11741785.9155347,16507069.1949169
"Dec 2021",14084549.6971828,12413326.8688757,15755772.5254898,11528634.9437791,16640464.4505864
"Jan 2022",14044671.8391398,12257558.0224777,15831785.6558018,11311517.1139586,16777826.5643209
"Feb 2022",14004793.9810968,12099250.6630358,15910337.2991577,11090516.9634621,16919070.9987314
"Mar 2022",13964916.1230538,11938456.8247577,15991375.4213498,10865714.0717428,17064118.1743647
"Apr 2022",13925038.2650107,11775225.584444,16074850.9455774,10637183.4952905,17212893.034731
"May 2022",13885160.4069677,11609603.3159414,16160717.4979941,10404996.1567832,17365324.6571523
